,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,public_url,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,host_tissue_sampled,biosamplemodel,lat_lon,breed,tissue,gold ecosystem classification,cultivar,age,biomaterial_provider,collected_by,biological_replicate,replicate,samp_mat_process,samp_size,ref_biomaterial,rel_to_oxygen,samp_collect_device,ecotype,identified_by,sex,dev_stage,ena-first-public,ena-last-update,external id,insdc center name,insdc first public,insdc last update,insdc status,submitter id,common name,sample name,scientific_name,phenotype,experimental factor: compound,experimental factor: dose,ebi_url,ebi_free_egress,ebi_access_type,broker name,altitude,env_broad_scale,env_local_scale,env_medium,season,type_of_nucleic_acid,arrayexpress-species,sample description,experimental factor: growth condition,experimental factor: stimulus,experimental factor: immunoprecipitate,cell type,developmental stage,genotype,growth condition,indivudal,organism part,progenitor cell type,source_name,treatment,sample_name,elev,env_feature,depth,env_material,env_biome,ena first public,ena last update,insdc center alias,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),investigation type,project name,sequencing method,wastewater/sludge environmental package,cell_line,cell_type,nucleic_acid,sample_timepoint,host_subject_id,isolation source,isol_growth_condt,propagation,number_of_cells,target_molecules,site_name,chlorophyll,conduc,diss_inorg_carb,bacterial_count,samp_volume,min_filter_size,max_filter_size,sequencing_method,sequencing_machine,std_norm_factor,specimen_voucher,source_material_id,sample_number,sample_source,investigation_type,temp,geographic_location,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2,contigs_510
121,SRR5087388,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404639,"P493-6 cell line, dox-treated, CpG treated","P493-6 cell line, dox-treated, CpG treated",9606,Homo sapiens,P493-6 dox CpG replicate 1,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843860,,SAMN06121392,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,22421942,1428793803,22421942,2264616142,Sample_r738s22_hs_fq_sr_Kube_V_1.fq.gz,SRR5087388.sralite,619808604,2020-06-22 13:17:31,6177aba9274b98c682531e18e40792e9,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087388/SRR5087388.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087388.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087388.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR5087388/SRR5087388.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline + CpG (0.5 muM, ODN2006, Invivogen)",,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/008/SRR5087388/SRR5087388.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/008/SRR5087388/SRR5087388.fastq.gz,,,1
122,SRR5087389,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404640,"P493-6 cell line, dox-treated","P493-6 cell line, dox-treated",9606,Homo sapiens,P493-6 dox replicate 4,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843862,,SAMN06121381,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,25497811,1614993090,25497811,2575278911,Sample_r738s33_hs_fq_sr_Kube_AG_1.fq.gz,SRR5087389.sralite,704472602,2020-06-22 13:21:53,a855ba916b7b8a85a2f371c11b640a89,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR5087389/SRR5087389.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087389.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087389.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR5087389/SRR5087389.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 4,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ng/ml doxycycline,,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/009/SRR5087389/SRR5087389.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/009/SRR5087389/SRR5087389.fastq.gz,,,0
123,SRR5087390,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404641,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 15,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843864,,SAMN06121412,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,23725385,1528985495,23725385,2396263885,Sample_r738s50_hs_fq_sr_Kube_AX_1.fq.gz,SRR5087390.sralite,655699713,2020-06-22 13:16:27,df29f048d0e05541546399f637d7f517,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087390/SRR5087390.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087390.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087390.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR5087390/SRR5087390.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (20ng/ml, AutogenBioclear) , rhIGF-1 (20ng/ml, Peprotech) , CpG (0.5muM, ODN2006, Invivogen) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/000/SRR5087390/SRR5087390.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/000/SRR5087390/SRR5087390.fastq.gz,,,0
124,SRR5087391,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404642,"P493-6 cell line, dox-treated","P493-6 cell line, dox-treated",9606,Homo sapiens,P493-6 dox replicate 7,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843863,,SAMN06121384,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,28124419,1776103208,28124419,2840566319,Sample_r738s63_hs_rna_sr_Kube_BL_1.fq.gz,SRR5087391.sralite,771006799,2020-06-22 13:45:08,580f3a45c9ade8bcf4a867645a1b1078,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR5087391/SRR5087391.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087391.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087391.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR5087391/SRR5087391.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 7,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ng/ml doxycycline,,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/001/SRR5087391/SRR5087391.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/001/SRR5087391/SRR5087391.fastq.gz,,,0
125,SRR5087392,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404643,"P493-6 cell line, dox-treated, sCD40L treated","P493-6 cell line, dox-treated, sCD40L treated",9606,Homo sapiens,P493-6 dox sCD40L replicate 2,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843865,,SAMN06121391,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,25196041,1522386969,25196041,2544800141,Sample_r738s92_hs_rna_sr_Kube_CO_1.fq.gz,SRR5087392.sralite,691415927,2020-06-22 13:18:28,8f71d741eefc6a7e232109de55484091,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087392/SRR5087392.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087392.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087392.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR5087392/SRR5087392.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 2,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline + sCD40L (100ng/ml, AutogenBioclear)",,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/002/SRR5087392/SRR5087392.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/002/SRR5087392/SRR5087392.fastq.gz,,,0
126,SRR5087393,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404644,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 29,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843867,,SAMN06121426,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,39007973,2579534838,39007973,3939805273,Sample_r738s99_hs_fq_sr_Kube_CV_1.fq.gz,SRR5087393.sralite,1075669979,2020-06-24 02:36:05,77bebb2ed0282e0d2101e257e3e39581,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087393/SRR5087393.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087393.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087393.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR5087393/SRR5087393.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (20ng/ml, AutogenBioclear) , rhIGF-1 (100ng/ml, Peprotech) , CpG (0.1muM, ODN2006, Invivogen) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-4,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/003/SRR5087393/SRR5087393.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/003/SRR5087393/SRR5087393.fastq.gz,,,0
127,SRR5087394,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404645,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 2,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843868,,SAMN06121399,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,30198710,1874210652,30198710,3050069710,Sample_r738s9_hs_fq_sr_Kube_I_1.fq.gz,SRR5087394.sralite,833675466,2020-06-22 13:22:23,0ecfe1957cd6825e3cace4e393243829,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087394/SRR5087394.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087394.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087394.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR5087394/SRR5087394.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (20ng/ml, AutogenBioclear) , a-IgM F(ab)2 fragments (130ng/ml, Jackson ImmunoResearch) , rhIGF-1 (100ng/ml, Peprotech) , IL10 (25ng/ml, Peprotech) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/004/SRR5087394/SRR5087394.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/004/SRR5087394/SRR5087394.fastq.gz,,,0
128,SRR5087395,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404646,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 8,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843866,,SAMN06121405,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,28232705,1790352978,28232705,2851503205,Sample_r738s29_hs_fq_sr_Kube_AC_1.fq.gz,SRR5087395.sralite,779698009,2020-06-22 13:20:17,f625c69b09d051b1774ae0aa25bc70ed,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087395/SRR5087395.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087395.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087395.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR5087395/SRR5087395.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; CpG (0.1muM, ODN2006, Invivogen) , IL10 (25ng/ml, Peprotech) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/005/SRR5087395/SRR5087395.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/005/SRR5087395/SRR5087395.fastq.gz,,,0
129,SRR5087396,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404647,"P493-6 cell line, dox-treated","P493-6 cell line, dox-treated",9606,Homo sapiens,P493-6 dox replicate 5,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843871,,SAMN06121382,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,28208911,1817953036,28208911,2849100011,Sample_r738s43_hs_fq_sr_Kube_AQ_1.fq.gz,SRR5087396.sralite,779047269,2020-06-22 13:22:15,0ba40115d5e53f6624c8ace248491499,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087396/SRR5087396.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087396.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087396.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR5087396/SRR5087396.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 5,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ng/ml doxycycline,,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/006/SRR5087396/SRR5087396.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/006/SRR5087396/SRR5087396.fastq.gz,,,1
130,SRR5087397,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404648,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 14,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843869,,SAMN06121411,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,26507584,1710678884,26507584,2677265984,Sample_r738s49_hs_fq_sr_Kube_AW_1.fq.gz,SRR5087397.sralite,732258124,2020-06-22 13:19:04,1c38a01f8988c4d271485537840b849f,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR5087397/SRR5087397.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087397.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087397.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR5087397/SRR5087397.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (20ng/ml, AutogenBioclear) , a-IgM F(ab)2 fragments (130ng/ml, Jackson ImmunoResearch) , IL10 (25ng/ml, Peprotech) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/007/SRR5087397/SRR5087397.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/007/SRR5087397/SRR5087397.fastq.gz,,,0
131,SRR5087398,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404649,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 7,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843870,,SAMN06121404,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,38152043,2401126858,38152043,3853356343,Sample_r738s28_hs_rna_sr_Kube_AB_1.fq.gz,SRR5087398.sralite,1042561123,2020-06-24 02:35:52,b75d0f0588c1ea225554623944fbdffd,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087398/SRR5087398.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087398.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087398.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR5087398/SRR5087398.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (20ng/ml, AutogenBioclear) , a-IgM F(ab)2 fragments (130ng/ml, Jackson ImmunoResearch) , rhIGF-1 (20ng/ml, Peprotech) , CpG (0.5muM, ODN2006, Invivogen) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/008/SRR5087398/SRR5087398.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/008/SRR5087398/SRR5087398.fastq.gz,,,0
132,SRR5087399,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404650,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 12,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843872,,SAMN06121409,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,33667593,2150554319,33667593,3400426893,Sample_r738s40_hs_fq_sr_Kube_AN_1.fq.gz,SRR5087399.sralite,929143393,2020-06-24 02:32:48,2d49125302c71c0368fde8a4c8b390ef,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087399/SRR5087399.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087399.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087399.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR5087399/SRR5087399.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 1,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 ng/ml doxycycline for 16h; sCD40L (100ng/ml, AutogenBioclear) , rhIGF-1 (100ng/ml, Peprotech) , CpG (0.5muM, ODN2006, Invivogen) , IL10 (5ng/ml, Peprotech) , for 24h.",,,,,,,,,,,,,,,,,,,,,P493-5,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/009/SRR5087399/SRR5087399.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/009/SRR5087399/SRR5087399.fastq.gz,,,0
133,SRR5087400,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404651,"P493-6 cell line, untreated","P493-6 cell line, untreated",9606,Homo sapiens,P493-6 untreated replicate 5,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843873,,SAMN06121372,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,30162575,1861561397,30162575,3046420075,Sample_r738s44_hs_rna_sr_Kube_AR_1.fq.gz,SRR5087400.sralite,826245226,2020-06-24 02:33:08,5ea5bff1ad4cbeaf8fddbf1a5bf06892,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR5087400/SRR5087400.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087400.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087400.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR5087400/SRR5087400.zq.1,gs.us-east1,gcp identity,,,not applicable,,,,,cells,,Human,,,cell line,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",,,Biological replicate 5,,,,,,,,not determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,P493-6,B-cell,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/000/SRR5087400/SRR5087400.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/000/SRR5087400/SRR5087400.fastq.gz,,,1
